"Date (UTC)","Loss","Jitter","Avg RTT","Min RTT","Max RTT"
"2017-09-10 22:50:12","0.0","5.880797","166.0","158.0","230.0"
"2017-09-10 22:55:14","0.0","3.680796","165.0","158.0","186.0"
"2017-09-10 23:00:12","0.0","3.416799","163.0","157.0","189.0"
"2017-09-10 23:05:13","0.0","3.0128","165.0","157.0","177.0"
"2017-09-10 23:10:14","0.0","2.859999","163.0","157.0","172.0"
"2017-09-10 23:15:12","0.0","2.4272","163.0","156.0","172.0"
"2017-09-10 23:20:12","0.0","2.752002","163.0","158.0","173.0"
"2017-09-10 23:25:12","0.0","7.644778","166.0","158.0","218.0"
"2017-09-10 23:30:12","0.0","2.1488","163.0","158.0","173.0"
"2017-09-10 23:35:12","0.0","3.889602","163.0","156.0","181.0"
"2017-09-10 23:40:13","0.0","2.42","163.0","157.0","171.0"
"2017-09-10 23:45:12","0.0","3.783994","163.0","158.0","189.0"
"2017-09-10 23:50:12","0.0","2.387201","162.0","157.0","184.0"
"2017-09-10 23:55:12","0.0","3.02","164.0","158.0","177.0"
"2017-09-11 00:00:12","0.0","2.979199","163.0","158.0","171.0"
"2017-09-11 00:05:13","0.0","4.534392","164.0","157.0","190.0"
"2017-09-11 00:10:13","0.0","2.940799","164.0","157.0","180.0"
"2017-09-11 00:15:13","0.0","4.644004","165.0","157.0","187.0"
"2017-09-11 00:20:13","0.0","3.306403","166.0","158.0","173.0"
"2017-09-11 00:25:12","0.0","4.022401","165.0","153.0","178.0"
"2017-09-11 00:30:13","0.0","3.644","165.0","157.0","183.0"
"2017-09-11 00:35:12","0.0","3.438397","163.0","157.0","178.0"
"2017-09-11 00:40:13","0.0","8.704006","169.0","157.0","291.0"
"2017-09-11 00:45:11","0.0","6.831201","167.0","157.0","196.0"
"2017-09-11 00:50:12","0.0","3.468798","163.0","158.0","182.0"
"2017-09-11 00:55:13","0.0","5.8","165.0","156.0","194.0"
"2017-09-11 01:00:13","0.0","5.193607","166.0","156.0","222.0"
"2017-09-11 01:05:13","0.0","2.896002","163.0","157.0","176.0"
"2017-09-11 01:10:13","0.0","5.112793","167.0","159.0","199.0"
"2017-09-11 01:15:13","0.0","2.54","163.0","156.0","174.0"
"2017-09-11 01:20:13","0.0","11.1","168.0","156.0","211.0"
"2017-09-11 01:25:13","0.0","3.120006","162.0","157.0","174.0"
"2017-09-11 01:30:13","0.0","5.812808","166.0","156.0","200.0"
"2017-09-11 01:35:12","0.0","3.1688","164.0","159.0","188.0"
"2017-09-11 01:40:13","0.0","8.427186","169.0","158.0","221.0"
"2017-09-11 01:45:13","0.0","3.937604","164.0","156.0","190.0"
"2017-09-11 01:50:14","0.0","9.568005","171.0","158.0","218.0"
"2017-09-11 01:55:13","0.0","4.176806","165.0","158.0","185.0"
"2017-09-11 02:00:13","0.0","7.680016","168.0","158.0","204.0"
"2017-09-11 02:05:13","1.9999981","4.785511","166.0","158.0","186.0"
"2017-09-11 02:10:17","0.0","7.377595","166.0","157.0","204.0"
"2017-09-11 02:15:12","0.0","6.099189","166.0","158.0","222.0"
"2017-09-11 02:20:11","0.0","6.743998","166.0","158.0","205.0"
"2017-09-11 02:25:13","0.0","5.902399","166.0","156.0","203.0"
"2017-09-11 02:30:15","0.0","9.529585","171.0","157.0","207.0"
"2017-09-11 02:35:12","0.0","5.654399","167.0","158.0","184.0"
"2017-09-11 02:40:14","0.0","4.5808","167.0","159.0","189.0"
"2017-09-11 02:45:11","0.0","3.375998","165.0","158.0","186.0"
"2017-09-11 02:50:12","0.0","5.490396","166.0","158.0","196.0"
"2017-09-11 02:55:12","0.0","3.886397","164.0","158.0","183.0"
"2017-09-11 03:00:12","0.0","9.025616","170.0","158.0","214.0"
"2017-09-11 03:05:13","0.0","3.777601","164.0","157.0","183.0"
"2017-09-11 03:10:12","0.0","8.07761","167.0","157.0","209.0"
"2017-09-11 03:15:12","0.0","2.9008","165.0","155.0","171.0"
"2017-09-11 03:20:12","0.0","8.608001","168.0","157.0","231.0"
"2017-09-11 03:25:13","0.0","3.664011","165.0","156.0","178.0"
"2017-09-11 03:30:12","0.0","9.5936","173.0","157.0","202.0"
"2017-09-11 03:35:12","0.0","3.426401","165.0","159.0","181.0"
"2017-09-11 03:40:13","0.0","9.200011","168.0","157.0","222.0"
"2017-09-11 03:45:12","0.0","3.8288","165.0","158.0","186.0"
"2017-09-11 03:50:13","0.0","6.412793","167.0","158.0","200.0"
"2017-09-11 03:55:12","0.0","6.143997","170.0","160.0","192.0"
"2017-09-11 04:00:13","0.0","9.179199","168.0","158.0","244.0"
"2017-09-11 04:05:14","1.9999981","3.441067","164.0","156.0","178.0"
"2017-09-11 04:10:11","0.0","10.050415","168.0","157.0","211.0"
"2017-09-11 04:15:12","0.0","2.9496","162.0","156.0","173.0"
"2017-09-11 04:20:12","0.0","5.902402","166.0","157.0","194.0"
"2017-09-11 04:25:16","0.0","11.531192","171.0","158.0","234.0"
"2017-09-11 04:30:11","0.0","8.1","167.0","156.0","200.0"
"2017-09-11 04:35:14","0.0","3.428007","164.0","158.0","207.0"
"2017-09-11 04:40:13","0.0","3.815995","163.0","156.0","178.0"
"2017-09-11 04:45:13","0.0","2.907202","162.0","157.0","170.0"
"2017-09-11 04:50:11","0.0","10.180798","167.0","155.0","247.0"
"2017-09-11 04:55:13","0.0","3.257601","163.0","157.0","171.0"
"2017-09-11 05:00:12","0.0","5.873583","166.0","158.0","214.0"
"2017-09-11 05:05:11","0.0","4.873594","165.0","158.0","229.0"
"2017-09-11 05:10:13","0.0","3.587202","163.0","158.0","193.0"
"2017-09-11 05:15:12","0.0","2.933601","162.0","156.0","181.0"
"2017-09-11 05:20:14","0.0","6.932804","168.0","158.0","202.0"
"2017-09-11 05:25:12","0.0","2.736","162.0","158.0","171.0"
"2017-09-11 05:30:12","0.0","5.672002","165.0","157.0","241.0"
"2017-09-11 05:35:13","0.0","2.3328","162.0","157.0","174.0"
"2017-09-11 05:40:11","0.0","6.400003","166.0","157.0","204.0"
"2017-09-11 05:45:13","0.0","3.853599","163.0","157.0","177.0"
"2017-09-11 05:50:12","0.0","5.956798","166.0","158.0","199.0"
"2017-09-11 05:55:12","0.0","3.3936","163.0","156.0","172.0"
"2017-09-11 06:00:13","0.0","8.376012","167.0","158.0","251.0"
"2017-09-11 06:05:13","0.0","2.78","163.0","157.0","176.0"
"2017-09-11 06:10:12","0.0","3.145599","164.0","158.0","178.0"
"2017-09-11 06:15:11","0.0","7.452798","167.0","156.0","237.0"
"2017-09-11 06:20:12","0.0","4.331192","163.0","157.0","189.0"
"2017-09-11 06:25:13","0.0","3.931993","164.0","158.0","184.0"
"2017-09-11 06:30:12","0.0","5.033604","164.0","157.0","217.0"
"2017-09-11 06:35:11","0.0","15.216011","172.0","158.0","259.0"
"2017-09-11 06:40:13","0.0","9.696007","170.0","157.0","197.0"
"2017-09-11 06:45:14","0.0","6.284796","165.0","156.0","198.0"
"2017-09-11 06:50:12","0.0","24.643967","175.0","156.0","362.0"
"2017-09-11 06:55:14","0.0","7.374394","167.0","157.0","205.0"
"2017-09-11 07:00:13","0.0","5.268803","165.0","158.0","220.0"
"2017-09-11 07:05:12","0.0","5.360807","166.0","157.0","186.0"
"2017-09-11 07:10:13","0.0","8.487997","167.0","158.0","202.0"
"2017-09-11 07:15:13","0.0","7.893589","168.0","158.0","264.0"
"2017-09-11 07:20:13","0.0","3.827202","163.0","157.0","190.0"
"2017-09-11 07:25:14","0.0","7.073611","168.0","157.0","200.0"
"2017-09-11 07:30:11","0.0","4.344001","166.0","157.0","182.0"
"2017-09-11 07:35:13","0.0","12.105613","169.0","156.0","236.0"
"2017-09-11 07:40:13","0.0","3.2576","163.0","156.0","179.0"
"2017-09-11 07:45:14","0.0","7.559994","167.0","156.0","202.0"
"2017-09-11 07:50:12","0.0","3.032002","163.0","157.0","176.0"
"2017-09-11 07:55:14","0.0","6.574399","166.0","157.0","213.0"
"2017-09-11 08:00:12","0.0","2.271994","162.0","158.0","175.0"
"2017-09-11 08:05:14","0.0","7.771205","166.0","158.0","202.0"
"2017-09-11 08:10:11","0.0","2.212002","162.0","157.0","169.0"
"2017-09-11 08:15:13","0.0","7.088","166.0","156.0","191.0"
"2017-09-11 08:20:13","0.0","2.462396","162.0","157.0","176.0"
"2017-09-11 08:25:14","0.0","11.65199","167.0","157.0","257.0"
"2017-09-11 08:30:12","0.0","2.592001","161.0","157.0","171.0"
"2017-09-11 08:35:12","0.0","5.254392","164.0","158.0","198.0"
"2017-09-11 08:40:13","0.0","2.047999","161.0","157.0","168.0"
"2017-09-11 08:45:12","0.0","7.304012","165.0","157.0","240.0"
"2017-09-11 08:50:14","0.0","3.252793","163.0","156.0","188.0"
"2017-09-11 08:55:13","0.0","10.546384","168.0","158.0","228.0"
"2017-09-11 09:00:12","0.0","5.006396","165.0","158.0","191.0"
